FIPS,# of Food Insecure Persons Overall (1 Year)
36035,7040
36037,6130
36039,5000
36041,480
36043,7530
36045,14690
36047,399210
36049,2920
36051,5960
36053,6630
36055,86040
36057,6770
36059,77750
36061,220780
36063,25870
36065,26940
36067,53290
36069,10490
36071,35990
36073,4840
36075,15640
36077,6570
36079,6240
36081,274120
36083,16260
36085,48010
36087,31590
36089,14660
36091,17890
36093,16560
36095,3350
36097,2330
36099,4030
36101,11370
36103,97600
36105,8690
36107,4980
36109,10940
36111,20210
36113,6810
36115,6580
36117,9230
36119,76520
36121,3740
36123,2580
37001,21830
37003,5040
37005,1940
37007,3540
37009,3780
37011,2460
37013,6620
37015,3160
37017,5420
37019,18000
37021,35600
37023,14650
37025,21730
37027,12260
37029,1090
37031,8700
37033,3190
37035,20910
37037,7820
37039,4660
37041,2060
37043,1760
37045,15350
37047,9260
37049,13770
37051,54170
37053,2810
37055,4500
37057,23520
37059,5520
37061,8040
37063,35870
37065,8570
37067,49350
37069,8020
37071,31070
37073,1460
37075,1420
37077,6750
37079,3130
37081,70990
37083,9060
37085,18430
37087,8820
37089,14310
37091,3530
37093,8250
37095,860
37097,20690
37099,6650
37101,23460
37103,1630
37105,8940
37107,9560
37109,10810
37111,7010
37113,5380
37115,3130
37117,3500
37119,119030
37121,2190
37123,3750
37125,11900
37127,13040
37129,31620
37131,2830
37133,27880
37135,14970
37137,1760
37139,4860
37141,7920
37143,1680
37145,5600
37147,25960
37149,2670
37151,20500
37153,7750
37155,24700
37157,14110
37159,20420
37161,11450
37163,8880
37165,7140
37167,7930
37169,6370
37171,11190
37173,2290
37175,4620
37177,640
37179,20030
37181,7410
37183,104210
37185,3170
37187,2250
37189,7950
37191,17580
37193,10350
37195,12630
37197,5220
37199,2680
38001,150
38003,500
38005,1040
38007,50
38009,370
38011,80
38013,70
38015,4010
38017,9750
38019,200
38021,130
38023,90
38025,180
38027,160
38029,180
38031,140
38033,70
38035,4670
38037,100
38039,60
38041,120
38043,130
38045,210
38047,50
38049,290
38051,130
38053,960
38055,360
38057,360
38059,1240
38061,690
38063,200
38065,90
38067,340
38069,210
38071,1100
38073,300
38075,80
38077,870
38079,2310
38081,130
38083,60
38085,640
38087,30
38089,1990
38091,60
38093,1470
38095,110
38097,230
38099,540
38101,3880
38103,200
38105,2440
39001,4980
39003,13750
39005,6450
39007,15230
39009,11120
39011,4630
39013,9330
39015,6610
39017,42010
39019,3710
39021,4760
39023,19190
39025,22950
39027,6090
39029,15010
39031,5680
39033,6190
39035,185960
39037,6190
39039,4090
39041,13890
39043,10140
39045,16070
